CellId,Nuclear Volume [fL],Cellular Volume [fL],Nuclear Surface Area [um^2],Cellular Surface Area [um^2],Radial Proximity [unitless],Apical Proximity [unitless]
3,876.345548,2732.007002,449.3463,1429.4477,0.710399846080497,0.602303571355681
4,594.676987,2201.180417,312.5997,1069.4997,0.804326664858065,0.710950455482373
8,574.507284,1773.32419,302.2554,910.803,0.769682447147337,0.689793677769785
9,377.444164,1298.763028,228.1633,723.5123,0.862651944272306,0.775171814559661
20,602.847302,1597.455111,334.5498,786.4191,0.850606066456338,0.208337679156147
21,726.767811,2045.115206,418.1452,1010.041,0.407079028362917,0.643111214150698
22,586.872507,1664.963863,334.4657,847.8121,0.586153893541203,0.463784167886556
23,490.340845,1725.790029,298.1345,939.9857,0.388164325359579,0.438550131748219
25,881.66235,2694.521109,434.2083,1167.8967,0.452531962617094,0.4997950804373
43,954.292792,2526.578455,434.797,1144.0964,0.194602321583839,-0.0183082065088792
45,315.83755,1692.011264,200.0739,775.9066,0.871843835989642,0.0350331955757894
62,1191.378261,3425.995997,536.6421,1607.2351,0.282439870156414,0.531867822623278
71,521.43682,1805.688393,281.9032,937.2945,0.778265508391427,0.399872832956955
79,1236.571078,3577.817522,525.0363,1542.3099,0.362120929557557,0.489308951085772
81,617.651425,1929.852792,308.8152,957.058,0.495484308955917,0.609499779903109
82,894.417797,2646.133333,398.2976,1157.3842,0.482143118921221,0.73723195899769
90,1661.427458,4948.089098,624.6948,1701.5953,0.274167614430192,0.472708934460589
96,715.890317,2261.152968,357.3409,995.2394,0.750749490726216,0.320342544823407
99,985.55949,2878.731226,489.8825,1372.8484,0.359949063681744,0.491167701843951
100,861.004867,2632.524271,458.1768,1245.0164,0.395595792663374,0.596245751793508
106,531.19242,1679.304595,308.647,858.1564,0.678672906206107,0.600791799487131
107,822.177579,2705.95955,412.4264,1293.7944,0.683588755540497,0.398092953695815
108,639.064967,1769.958508,330.1766,862.4455,0.669646846871681,0.684592704626587
111,859.175692,2313.491762,423.3594,1161.7574,0.545934594568796,0.523455449051772
114,991.851852,3016.041296,472.642,1300.3542,0.630289736679078,0.356106088681756
120,659.72245,1785.055299,327.3172,867.2392,0.548776495927417,0.724624817277487
123,743.254775,2091.673807,357.1727,1085.1423,0.661996231620944,0.394175600320017
124,606.408096,2069.723707,314.0294,962.0199,0.856527638326915,0.616466293971207
128,820.397182,2533.212263,399.475,1261.6682,0.707149905246717,0.787807136533969
130,934.245034,2137.964129,432.3581,972.9529,0.824596354517596,0.453022701841256
141,681.526216,1876.660383,359.3593,968.7479,0.717935140483692,0.389184421637201
146,644.308602,2034.310879,350.8652,1070.7612,0.579651909931685,0.59869689145163
149,1039.751848,3107.109822,497.4515,1425.9155,0.544992805719086,0.669155867646226
155,624.553512,1763.153977,321.3461,796.7634,0.624523696307484,0.542857317635136
162,268.742391,1669.036826,187.9635,748.3218,0.916839044316214,0.605675512222136
177,290.2291,1679.402151,185.861,781.5413,0.654320295804258,0.726707860065758
183,465.512843,1433.439086,282.0714,818.293,0.714021155108501,0.593342301132018
185,510.973939,1583.187546,321.8507,876.322,0.653121984876537,0.734010099658585
186,506.218084,1783.713904,267.9426,843.4389,0.824894897077337,0.525544372700351
187,934.001144,2545.040928,422.0138,1118.3618,0.700680883304624,0.709803972566401
191,555.508253,1700.181579,326.3921,960.9266,0.866087858641413,0.649133947663486
201,726.328809,2141.3542,342.7075,1021.7309,0.897274465809355,0.724871446741007
205,910.831594,2775.590145,419.4067,1307.6709,0.731365569078182,0.650309558084924
211,360.762088,1907.2198,214.8755,871.1919,0.879907183175465,0.514977369083951
212,733.230896,2315.564827,356.2476,1070.0884,0.703780565304614,0.569137569074089
213,648.918123,1818.004838,337.9138,1083.0398,0.472353772980843,0.510309386582157
214,521.802655,1730.936108,278.371,921.9042,0.834783466054996,0.701103036126279
216,1002.412289,2968.238856,449.1781,1435.4188,0.84226818194335,0.564711925716388
222,913.514384,2597.379722,439.4225,1195.061,0.54338079148514,0.554577774076499
234,753.912768,2323.686364,359.3593,1062.0148,0.674182995937993,0.791015594588583
235,693.745105,1888.952439,363.5643,838.3088,0.449815433274295,0.305464370830477
236,288.887705,1863.758602,208.1475,836.2904,0.605282314321538,0.732858360643625
257,757.790619,2640.426307,358.0978,1222.1412,0.717769116640232,0.430581019219656
260,776.277481,2113.428795,392.0742,1047.7178,0.832677389619498,0.637293955948542
268,569.068537,1671.305003,312.4315,848.2326,0.696912311009651,0.427026673786631
270,500.608614,1560.432609,264.3263,782.8028,0.543507731051677,0.57329118897741
272,455.220685,1596.113716,281.4827,894.4876,0.431887045017727,0.460752193986604
273,916.78251,3107.64638,546.1454,1726.4048,0.788258061933877,0.571288141535544
281,238.914644,1285.05641,170.0502,589.4569,0.47184998274352,0.276500109723265
285,808.227071,2418.608352,437.0677,1300.6906,0.765078053612788,0.565087443728108
313,884.735364,2713.52014,456.7471,1261.4159,0.584627163582293,0.741188987848128
316,739.889093,2178.254757,390.8127,1178.5774,0.783255908735581,0.495303906217185
318,767.155995,2092.454255,395.3541,1075.7231,0.462319125418667,0.718186005695674
339,837.51826,2246.543957,424.0322,1292.1965,0.787504536128218,0.369724621879453
345,1095.748992,2993.579027,528.4844,1504.0444,0.260519805760157,0.620342663450786
354,445.221195,1799.688699,258.6916,756.3113,0.519675539967377,0.324260143951051
362,821.616632,2197.790346,516.1217,1376.0442,0.44909640105713,0.508769502932287
368,835.420806,2165.523699,417.0519,1042.6718,0.350185301700548,0.8222683427667
369,823.494585,2287.078475,383.4119,1103.7284,0.497754416014508,0.496600037307086
372,641.308755,1987.996168,324.4578,1016.4326,0.701817924607539,0.548689781869561
377,743.401109,2335.417473,363.2279,1094.3092,0.514106924124434,0.652794176381398
378,561.068945,1540.458018,284.5944,802.0617,0.762179225613306,0.390318694327628
381,881.150181,2520.773873,463.9797,1286.3095,0.576899170758415,0.524593411211648
382,623.748675,1824.028921,356.7522,1008.4431,0.579433190344966,0.683195694687539
